epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.692,1.07875,2.11721,1.13247,1,0.17684,0.96435,0.67391,0.93107,2.68997,1.02804,0.000651515,0.000651515,0.000651515
2,28.6979,1.00819,1.19304,1.06138,0.79331,0.94,0.80566,0.55892,1.03784,1.81042,1.1947,0.00127468,0.00127468,0.00127468
3,37.6704,1.04987,1.05828,1.084,0.97147,0.865,0.95995,0.63897,1.12429,1.40796,1.20874,0.00185385,0.00185385,0.00185385
4,47.0995,1.03758,0.94631,1.08596,0.95612,0.925,0.96002,0.69561,1.03221,1.09884,1.1243,0.001802,0.001802,0.001802
5,57.5565,1.01683,0.81584,1.06489,0.99292,0.995,0.99465,0.72766,0.96783,0.65539,1.09415,0.001736,0.001736,0.001736
6,66.6878,0.98568,0.74341,1.05011,0.99006,0.99629,0.995,0.73138,0.96573,0.66679,1.07362,0.00167,0.00167,0.00167
7,75.6253,0.95229,0.6505,1.02742,0.95552,1,0.98752,0.72718,0.94371,0.67494,1.07163,0.001604,0.001604,0.001604
8,84.8453,0.95751,0.62633,1.04556,0.96553,1,0.9872,0.73337,0.92517,0.59026,1.03629,0.001538,0.001538,0.001538
9,94.4331,0.93353,0.5909,1.03646,0.99192,0.98,0.99363,0.7538,0.89024,0.53218,1.03671,0.001472,0.001472,0.001472
10,103.916,0.9485,0.5857,1.02299,0.99009,0.99868,0.99313,0.73796,0.94179,0.53652,1.03258,0.001406,0.001406,0.001406
11,112.891,0.93182,0.55044,1.01684,0.98031,0.9957,0.99124,0.76215,0.88914,0.50971,1.03561,0.00134,0.00134,0.00134
12,121.818,0.91646,0.54109,1.01178,0.99313,1,0.995,0.7832,0.84317,0.49596,0.99168,0.001274,0.001274,0.001274
13,130.632,0.90613,0.52185,1.01181,0.99955,0.995,0.995,0.75107,0.87092,0.4556,1.00412,0.001208,0.001208,0.001208
14,139.432,0.89514,0.50047,1.00986,0.99354,0.995,0.9949,0.74773,0.91424,0.46851,1.03939,0.001142,0.001142,0.001142
15,148.509,0.89559,0.49066,1.004,0.99917,1,0.995,0.76208,0.88489,0.43534,1.00577,0.001076,0.001076,0.001076
16,157.344,0.88198,0.46669,0.9994,0.99335,1,0.995,0.76994,0.87673,0.44235,0.99593,0.00101,0.00101,0.00101
17,166.119,0.87067,0.46414,0.99437,0.98907,1,0.994,0.76447,0.85769,0.45786,0.99829,0.000944,0.000944,0.000944
18,174.899,0.86609,0.45959,0.99299,0.99287,0.995,0.9948,0.77744,0.86461,0.40967,1.01153,0.000878,0.000878,0.000878
19,183.686,0.86878,0.45589,1.00248,0.98906,1,0.99289,0.77302,0.85097,0.40758,0.98729,0.000812,0.000812,0.000812
20,192.442,0.86025,0.45009,0.98902,0.99404,1,0.99326,0.78005,0.85396,0.40483,0.97903,0.000746,0.000746,0.000746
21,229.456,0.82281,0.42113,0.98972,0.97516,1,0.98401,0.75284,0.9447,0.4356,1.03201,0.00068,0.00068,0.00068
22,238.872,0.83262,0.40978,1.00068,0.98942,1,0.99341,0.77181,0.87058,0.42206,0.99726,0.000614,0.000614,0.000614
23,247.632,0.82384,0.39552,0.99486,0.98887,1,0.99324,0.78445,0.85089,0.40078,0.98249,0.000548,0.000548,0.000548
24,256.39,0.80318,0.38531,0.99566,0.99842,1,0.995,0.77855,0.84524,0.38434,0.97945,0.000482,0.000482,0.000482
25,265.118,0.78146,0.37634,0.97682,0.99879,1,0.995,0.78654,0.86725,0.37239,0.98361,0.000416,0.000416,0.000416
26,273.809,0.78494,0.36845,0.98079,0.99942,1,0.995,0.8007,0.84142,0.36231,0.97558,0.00035,0.00035,0.00035
27,282.52,0.76733,0.3656,0.9674,0.99009,1,0.995,0.78614,0.85587,0.36184,0.98001,0.000284,0.000284,0.000284
28,291.251,0.76032,0.35427,0.9647,0.99417,1,0.9949,0.79284,0.8485,0.34785,0.97086,0.000218,0.000218,0.000218
29,299.984,0.74278,0.34016,0.96267,0.99762,1,0.995,0.80294,0.83469,0.33894,0.96361,0.000152,0.000152,0.000152
30,308.734,0.74579,0.33564,0.96145,0.99472,1,0.995,0.79834,0.83268,0.33359,0.96587,8.6e-05,8.6e-05,8.6e-05
